Fid,event_unique_id,occurrencedate,reporteddate,location_type,premises_type,Neighbourhood,Longitude,Latitude,Offence_Label
172.217.10.227-10.42.0.42-80-44282-6,GO-20221720820,2022/03/18 04:00:00+00,2022/03/18 04:00:00+00,"Gas Station (Self, Full, Attached Convenience)",Commercial,Oakridge,-79.27361046,43.69436424,0
10.42.0.211-104.192.110.245-57641-443-6,GO-20221720820,2022/03/18 04:00:00+00,2022/03/18 04:00:00+00,"Gas Station (Self, Full, Attached Convenience)",Commercial,Oakridge,-79.27361046,43.69436424,1
10.42.0.211-10.42.0.1-50516-53-17,GO-20221716319,2022/03/17 04:00:00+00,2022/03/18 04:00:00+00,Schools During Supervised Activity,Educational,Beechborough-Greenbrook,-79.47605995,43.6899192,0
172.217.11.33-10.42.0.151-443-33645-6,GO-20221724114,2022/03/18 04:00:00+00,2022/03/18 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Wychwood,-79.42740921,43.67754439,1
184.50.111.246-10.42.0.151-443-53505-6,GO-20221331950,2022/01/12 05:00:00+00,2022/01/12 05:00:00+00,"Religious Facilities (Synagogue, Church, Convent, Mosque)",Other,Milliken,-79.30042622,43.80891295,1
10.42.0.151-52.84.29.154-34146-443-6,GO-20221807710,2022/04/01 04:00:00+00,2022/04/01 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,South Riverdale,-79.33427841,43.6661702,0
10.42.0.211-104.88.106.21-36787-80-6,GO-20221571546,2022/02/21 05:00:00+00,2022/02/21 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Morningside,-79.19431473,43.78927557,1
172.217.9.238-10.42.0.151-443-52854-6,GO-20221331950,2022/01/12 05:00:00+00,2022/01/12 05:00:00+00,"Religious Facilities (Synagogue, Church, Convent, Mosque)",Other,Milliken,-79.30042622,43.80891295,0
10.42.0.211-10.42.0.1-39808-53-17,GO-20221807710,2022/04/01 04:00:00+00,2022/04/01 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,South Riverdale,-79.33427841,43.6661702,0
172.217.11.34-10.42.0.211-443-43916-6,GO-20221571546,2022/02/21 05:00:00+00,2022/02/21 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Morningside,-79.19431473,43.78927557,1
216.58.219.234-10.42.0.42-443-47241-6,GO-20221332558,2022/01/12 05:00:00+00,2022/01/12 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,LAmoreaux,-79.32548211,43.79727413,1
10.42.0.211-31.13.71.7-49079-443-6,GO-20221808468,2022/04/01 04:00:00+00,2022/04/01 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Roncesvalles,-79.45180676,43.653883,0
151.101.1.140-10.42.0.42-80-36385-6,GO-20221572204,2022/02/21 05:00:00+00,2022/02/21 05:00:00+00,Other Passenger Train Station,Transit,Church-Yonge Corridor,-79.38674812,43.67022634,1
172.217.3.106-10.42.0.151-443-53083-6,GO-20221335270,2022/01/13 05:00:00+00,2022/01/13 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Downsview-Roding-CFB,-79.47846188,43.72797708,0
10.42.0.42-66.198.178.91-57417-443-6,GO-20221810426,2022/04/01 04:00:00+00,2022/04/01 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,West Humber-Clairville,-79.61783783,43.73504019,1
10.42.0.211-104.254.66.16-44444-80-6,GO-20221574161,2022/02/21 05:00:00+00,2022/02/21 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Dorset Park,-79.28460011,43.76650289,0
10.42.0.151-14.204.144.143-39503-80-6,GO-20221572485,2022/02/21 05:00:00+00,2022/02/21 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Dovercourt-Wallace Emerson-Junction,-79.44816836,43.661562,1
172.217.12.170-10.42.0.151-443-44491-6,GO-20221573201,2022/02/21 05:00:00+00,2022/02/21 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Mount Olive-Silverstone-Jamestown,-79.58376752,43.7468156,0
172.217.10.78-10.42.0.151-443-57693-6,GO-20221573675,2022/02/21 05:00:00+00,2022/02/21 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Moss Park,-79.37099208,43.65829436,0
184.29.173.155-10.42.0.211-80-59505-6,GO-20221574210,2022/02/21 05:00:00+00,2022/02/21 05:00:00+00,Convenience Stores,Commercial,Pelmo Park-Humberlea,-79.53743626,43.7206709,0
172.217.10.74-10.42.0.211-443-33776-6,GO-20221573651,2022/02/21 05:00:00+00,2022/02/21 05:00:00+00,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,Thorncliffe Park,-79.34658826,43.70321193,0
172.217.10.10-10.42.0.151-443-52357-6,GO-20221575108,2022/02/21 05:00:00+00,2022/02/22 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Moss Park,-79.37099208,43.65829436,0
180.149.138.210-10.42.0.42-80-58498-6,GO-20221575363,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Downsview-Roding-CFB,-79.48356291,43.73312303,1
10.42.0.211-52.84.143.74-51243-80-6,GO-20221575363,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Downsview-Roding-CFB,-79.48356291,43.73312303,1
172.217.12.195-10.42.0.151-443-50038-6,GO-20221574968,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,Ttc Subway Station,Transit,Rosedale-Moore Park,-79.3841696,43.67080434,0
10.42.0.211-64.71.142.124-43104-443-6,GO-20221575270,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Trinity-Bellwoods,-79.40552931,43.64782493,0
10.42.0.151-10.42.0.1-63000-53-17,GO-20221575306,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,Bar / Restaurant,Commercial,Humber Summit,-79.54903544,43.7506496,0
10.42.0.211-23.45.196.130-59824-443-6,GO-20221575306,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,Bar / Restaurant,Commercial,Humber Summit,-79.54903544,43.7506496,1
203.205.158.56-10.42.0.211-80-59413-6,GO-20221575951,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,Homeless Shelter / Mission,Other,Trinity-Bellwoods,-79.40415004,43.6476754,1
10.42.0.151-10.42.0.1-5128-53-17,GO-20221576070,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Newtonbrook West,-79.4430091,43.79108334,1
10.42.0.211-64.71.142.110-60198-443-6,GO-20221576871,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,South Parkdale,-79.4309343,43.63997369,1
169.47.42.215-10.42.0.211-443-41852-6,GO-20221577645,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Taylor-Massey,-79.29181642,43.69575899,1
172.217.11.46-10.42.0.151-443-39498-6,GO-20221578244,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Briar Hill-Belgravia,-79.45023952,43.69569257,0
151.101.1.140-10.42.0.211-443-44559-6,GO-20221577365,2022/02/21 05:00:00+00,2022/02/22 05:00:00+00,Schools During Un-Supervised Activity,Educational,Runnymede-Bloor West Village,-79.48509718,43.65090827,1
172.217.10.238-10.42.0.211-443-37167-6,GO-20221578641,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Trinity-Bellwoods,-79.42074205,43.64933335,0
10.42.0.151-50.17.232.169-37598-443-6,GO-20221579055,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Cliffcrest,-79.23239446,43.72513872,0
172.217.12.174-10.42.0.151-443-51724-6,GO-20221797762,2022/02/22 05:00:00+00,2022/02/22 05:00:00+00,Bar / Restaurant,Commercial,Caledonia-Fairbank,-79.45023952,43.69569257,0
10.42.0.211-121.12.98.64-40872-80-6,GO-20221581968,2022/02/23 05:00:00+00,2022/02/23 05:00:00+00,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,Moss Park,-79.3734186,43.65730333,1
10.42.0.211-23.208.106.113-49708-443-6,GO-20221583614,2022/02/23 05:00:00+00,2022/02/23 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Moss Park,-79.37099208,43.65829436,0
172.217.3.97-10.42.0.42-443-40598-6,GO-20221583614,2022/02/23 05:00:00+00,2022/02/23 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Moss Park,-79.37099208,43.65829436,1
180.149.134.221-10.42.0.151-80-45154-6,GO-20221584183,2022/02/23 05:00:00+00,2022/02/23 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Mount Olive-Silverstone-Jamestown,-79.58378073,43.73241483,0
202.77.129.161-10.42.0.151-80-34125-6,GO-20221584207,2022/02/03 05:00:00+00,2022/02/23 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Milliken,-79.3019022,43.81213662,1
10.42.0.211-10.42.0.1-54397-53-17,GO-20221585328,2022/02/23 05:00:00+00,2022/02/23 05:00:00+00,Convenience Stores,Commercial,Centennial Scarborough,-79.17240665,43.78218914,0
10.42.0.151-14.204.144.144-33144-80-6,GO-20221585522,2022/02/23 05:00:00+00,2022/02/23 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Weston,-79.51127669,43.69834448,1
172.217.12.193-10.42.0.42-443-50794-6,GO-20221586199,2022/02/23 05:00:00+00,2022/02/23 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Weston,-79.51775154,43.70060252,1
10.42.0.211-10.42.0.1-9779-53-17,GO-20221586301,2022/02/23 05:00:00+00,2022/02/24 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Humber Heights-Westmount,-79.51141912,43.68396393,0
172.217.10.238-10.42.0.211-443-51662-6,GO-20221588000,2022/02/22 05:00:00+00,2022/02/24 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,South Riverdale,-79.33222359,43.66280519,1
10.42.0.211-123.125.115.190-56889-80-6,GO-20221590710,2022/02/24 05:00:00+00,2022/02/24 05:00:00+00,Ttc Subway Station,Transit,Danforth,-79.32393433,43.68416734,0
10.42.0.211-10.42.0.1-23546-53-17,GO-20221590710,2022/02/24 05:00:00+00,2022/02/24 05:00:00+00,Ttc Subway Station,Transit,Danforth,-79.32393433,43.68416734,0
172.217.10.78-10.42.0.151-443-49821-6,GO-20221590352,2022/02/24 05:00:00+00,2022/02/24 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,1
10.42.0.151-52.216.1.211-46011-443-6,GO-20221590352,2022/02/24 05:00:00+00,2022/02/24 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,1
208.185.50.65-10.42.0.211-443-40195-6,GO-20221590352,2022/02/24 05:00:00+00,2022/02/24 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,0
10.42.0.151-31.13.80.12-55406-443-6,GO-20221590352,2022/02/24 05:00:00+00,2022/02/24 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,1
172.217.12.174-10.42.0.151-443-50174-6,GO-20221590352,2022/02/24 05:00:00+00,2022/02/24 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Clairlea-Birchmount,-79.28589258,43.71588716,0
10.42.0.211-104.196.69.241-35023-443-6,GO-20221592567,2022/02/24 05:00:00+00,2022/02/24 05:00:00+00,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,Mimico,-79.4897495,43.61273143,1
10.42.0.211-10.42.0.1-32619-53-17,GO-20221603002,2022/02/24 05:00:00+00,2022/02/24 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,NSA,-79.12920625,43.80953089,0
10.42.0.211-103.7.30.118-45636-80-6,GO-20221596289,2022/02/25 05:00:00+00,2022/02/25 05:00:00+00,Unknown,Other,Oakridge,-79.285359,43.69699745,1
10.42.0.211-106.11.92.16-35045-443-6,GO-20221595247,2022/02/25 05:00:00+00,2022/02/25 05:00:00+00,Schools During Un-Supervised Activity,Educational,Humbermede,-79.5422781,43.73861815,0
209.10.120.26-10.42.0.211-80-39958-6,GO-20221595247,2022/02/25 05:00:00+00,2022/02/25 05:00:00+00,Schools During Un-Supervised Activity,Educational,Humbermede,-79.5422781,43.73861815,0
239.255.255.250-10.42.0.1-1900-33661-17,GO-20221597295,2013/11/21 05:00:00+00,2022/02/25 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Trinity-Bellwoods,-79.41389655,43.65070412,0
172.217.11.2-10.42.0.42-443-52707-6,GO-20221597295,2013/11/21 05:00:00+00,2022/02/25 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Trinity-Bellwoods,-79.41389655,43.65070412,0
182.22.67.91-10.42.0.211-443-60535-6,GO-20221597092,2022/02/25 05:00:00+00,2022/02/25 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Cabbagetown-South St.James Town,-79.3673296,43.67436858,0
10.42.0.211-69.147.64.215-40757-443-6,GO-20221596420,2022/02/07 05:00:00+00,2022/02/25 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,NSA,-79.74415214,43.75611842,1
172.217.12.142-10.42.0.151-443-40348-6,GO-20221597912,2022/02/25 05:00:00+00,2022/02/25 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Maple Leaf,-79.47802246,43.70866018,1
10.42.0.211-10.42.0.1-15089-53-17,GO-20221597472,2022/02/25 05:00:00+00,2022/02/25 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Woodbine-Lumsden,-79.31604983,43.69335557,0
172.217.10.74-10.42.0.211-443-33589-6,GO-20221597472,2022/02/25 05:00:00+00,2022/02/25 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Woodbine-Lumsden,-79.31604983,43.69335557,0
10.42.0.42-104.254.66.16-49957-80-6,GO-20221600937,2022/02/26 05:00:00+00,2022/02/26 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Bendale,-79.25361205,43.77167743,0
10.42.0.151-10.42.0.1-34893-53-17,GO-20221600937,2022/02/26 05:00:00+00,2022/02/26 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Bendale,-79.25361205,43.77167743,1
10.42.0.211-123.125.29.220-47214-80-6,GO-20221602112,2022/02/26 05:00:00+00,2022/02/26 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Rouge,-79.16710313,43.80461752,1
172.217.12.206-10.42.0.211-443-56968-6,GO-20221603013,2022/02/26 05:00:00+00,2022/02/26 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,NSA,0,0,1
10.42.0.211-54.165.129.5-49352-443-6,GO-20221602694,2022/02/26 05:00:00+00,2022/02/26 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Mount Olive-Silverstone-Jamestown,-79.57827059,43.7355062,1
10.42.0.151-123.125.115.190-41823-80-6,GO-20221602941,2022/02/26 05:00:00+00,2022/02/26 05:00:00+00,Universities / Colleges,Educational,York University Heights,-79.50409277,43.77166379,1
10.42.0.211-10.42.0.1-64468-53-17,GO-20221603598,2022/02/23 05:00:00+00,2022/02/26 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Glenfield-Jane Heights,-79.51769107,43.75723544,0
184.72.52.0-10.42.0.211-443-54452-6,GO-20221603812,2022/02/26 05:00:00+00,2022/02/26 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Rockcliffe-Smythe,-79.47671287,43.68160961,1
10.42.0.151-23.44.160.219-49984-443-6,GO-20221603812,2022/02/26 05:00:00+00,2022/02/26 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Rockcliffe-Smythe,-79.47671287,43.68160961,0
10.42.0.211-66.231.239.110-39311-443-6,GO-20221609282,2022/02/27 05:00:00+00,2022/02/27 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Malvern,-79.22664531,43.8051811,0
10.42.0.211-77.234.44.196-39596-443-6,GO-20221610510,2022/02/27 05:00:00+00,2022/02/27 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Weston,-79.51208583,43.70109301,0
10.42.0.211-123.125.46.161-49630-80-6,GO-20221611687,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,Convenience Stores,Commercial,Downsview-Roding-CFB,-79.51410965,43.72063505,1
202.77.129.150-10.42.0.151-443-40088-6,GO-20221611621,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Waterfront Communities-The Island,-79.3883628,43.64757108,0
182.22.67.75-10.42.0.151-443-35634-6,GO-20221611621,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Waterfront Communities-The Island,-79.3883628,43.64757108,1
217.69.133.211-10.42.0.211-443-36807-6,GO-20221611584,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,Ttc Subway Station,Transit,Rosedale-Moore Park,-79.3841696,43.67080434,0
172.217.9.238-10.42.0.151-443-40053-6,GO-2022161199,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Woburn,-79.24171856,43.77433353,1
10.42.0.151-10.42.0.1-47526-53-17,GO-20221613800,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,West Hill,-79.18618517,43.76840677,0
10.42.0.1-10.42.0.42-53-36937-17,GO-20221615369,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Woburn,-79.21579746,43.76185035,1
10.42.0.211-10.42.0.1-35991-53-17,GO-20221616577,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Thistletown-Beaumond Heights,-79.56770583,43.74246642,1
10.42.0.211-10.42.0.1-35853-53-17,GO-20221615717,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,NSA,0,0,0
172.217.11.42-10.42.0.42-443-44536-6,GO-20221617417,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,York University Heights,-79.5028438,43.76801296,1
10.42.0.211-77.234.44.43-46919-80-6,GO-20221616762,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,Bar / Restaurant,Commercial,Mount Dennis,-79.49258771,43.68812338,0
203.205.158.63-10.42.0.151-80-36749-6,GO-20221617530,2022/02/28 05:00:00+00,2022/02/28 05:00:00+00,Homeless Shelter / Mission,Other,Moss Park,-79.36941977,43.65452491,0
192.229.163.180-10.42.0.151-443-46522-6,GO-20221618274,2022/03/01 05:00:00+00,2022/03/01 05:00:00+00,Bar / Restaurant,Commercial,Keelesdale-Eglinton West,-79.47387271,43.69042154,1
172.217.10.67-10.42.0.211-80-48123-6,GO-20221622285,2022/03/01 05:00:00+00,2022/03/01 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Bridle Path-Sunnybrook-York Mills,-79.37788316,43.72173341,1
203.130.53.126-10.42.0.42-80-50977-6,GO-20221335761,2022/01/06 05:00:00+00,2022/01/13 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Kensington-Chinatown,-79.39495715,43.65047451,0
10.42.0.211-10.42.0.1-53608-53-17,GO-20221810980,2022/04/01 04:00:00+00,2022/04/01 04:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Rockcliffe-Smythe,-79.48210041,43.68063272,1
208.80.153.224-10.42.0.151-443-37992-6,GO-20221336266,2022/01/13 05:00:00+00,2022/01/13 05:00:00+00,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,Scarborough Village,-79.21887335,43.74318039,0
172.217.10.42-10.42.0.151-443-50396-6,GO-20221337027,2022/01/13 05:00:00+00,2022/01/13 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Dorset Park,-79.27106943,43.76792422,1
10.42.0.211-10.42.0.1-38853-53-17,GO-20221810980,2022/04/01 04:00:00+00,2022/04/01 04:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Rockcliffe-Smythe,-79.48210041,43.68063272,0
10.42.0.211-10.42.0.1-5021-53-17,GO-20221338395,2022/01/13 05:00:00+00,2022/01/13 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Caledonia-Fairbank,-79.45505937,43.69462616,1
172.217.10.138-10.42.0.151-443-35329-6,GO-20221811732,2022/04/02 04:00:00+00,2022/04/02 04:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,Beechborough-Greenbrook,-79.48935191,43.69174302,0
172.217.10.35-10.42.0.211-443-54428-6,GO-20221338390,2022/01/13 05:00:00+00,2022/01/13 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Church-Yonge Corridor,-79.37830693,43.66628508,0
10.42.0.151-10.42.0.1-44339-53-17,GO-20221812148,2022/04/02 04:00:00+00,2022/04/02 04:00:00+00,"Apartment (Rooming House, Condo)",Apartment,West Hill,-79.18618517,43.76840677,0
172.217.6.202-10.42.0.151-443-51615-6,GO-20221343218,2022/01/13 05:00:00+00,2022/01/13 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Dufferin Grove,-79.43131207,43.65773638,0
172.217.10.104-10.42.0.211-443-53162-6,GO-20221812148,2022/04/02 04:00:00+00,2022/04/02 04:00:00+00,"Apartment (Rooming House, Condo)",Apartment,West Hill,-79.18618517,43.76840677,0
8.0.6.4-8.6.0.1-0-0-0,GO-20221340104,2022/01/08 05:00:00+00,2022/01/14 05:00:00+00,Schools During Un-Supervised Activity,Educational,Humbermede,-79.54156856,43.74823463,1
182.22.25.252-10.42.0.211-443-38360-6,GO-20221343509,2022/01/14 05:00:00+00,2022/01/14 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Bendale,-79.25848253,43.75285727,1
10.42.0.211-104.244.42.2-45397-443-6,GO-20221343350,2022/01/14 05:00:00+00,2022/01/14 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Westminster-Branson,-79.45090456,43.77231285,0
10.42.0.151-125.39.240.46-42682-80-6,GO-20221343350,2022/01/14 05:00:00+00,2022/01/14 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Westminster-Branson,-79.45090456,43.77231285,0
10.42.0.151-10.42.0.1-45821-53-17,GO-20221343350,2022/01/14 05:00:00+00,2022/01/14 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Westminster-Branson,-79.45090456,43.77231285,0
172.217.12.142-10.42.0.211-443-60028-6,GO-20221343790,2022/01/14 05:00:00+00,2022/01/14 05:00:00+00,Bar / Restaurant,Commercial,Church-Yonge Corridor,-79.38052643,43.67161072,1
209.10.120.26-10.42.0.211-80-44733-6,GO-20221343372,2022/01/14 05:00:00+00,2022/01/14 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Palmerston-Little Italy,-79.41581649,43.66028429,1
10.42.0.211-23.66.169.49-56314-80-6,GO-20221341661,2022/01/14 05:00:00+00,2022/01/14 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,Moss Park,-79.37099208,43.65829436,1
10.42.0.151-31.13.71.52-47620-443-6,GO-20221344678,2022/01/14 05:00:00+00,2022/01/14 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Eglinton East,-79.26174292,43.73369145,1
151.101.117.140-10.42.0.211-443-36821-6,GO-20221883572,2022/01/07 05:00:00+00,2022/01/14 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Parkwoods-Donalda,-79.31349495,43.75300529,1
205.204.101.196-10.42.0.151-443-50664-6,GO-20221345181,2022/01/15 05:00:00+00,2022/01/15 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Annex,-79.39828254,43.67032491,0
205.185.216.42-10.42.0.211-80-56393-6,GO-20221345181,2022/01/15 05:00:00+00,2022/01/15 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Annex,-79.39828254,43.67032491,1
172.217.7.161-10.42.0.211-443-40512-6,GO-20221347811,2022/01/14 05:00:00+00,2022/01/15 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Englemount-Lawrence,-79.43819728,43.73027846,0
192.229.173.173-10.42.0.151-443-52508-6,GO-20221348725,2022/01/14 05:00:00+00,2022/01/15 05:00:00+00,Schools During Un-Supervised Activity,Educational,North St.James Town,-79.37279145,43.66924446,0
8.41.222.241-10.42.0.211-443-37920-6,GO-20221348725,2022/01/14 05:00:00+00,2022/01/15 05:00:00+00,Schools During Un-Supervised Activity,Educational,North St.James Town,-79.37279145,43.66924446,0
10.42.0.1-10.42.0.42-53-22097-17,GO-20221348919,2022/01/15 05:00:00+00,2022/01/15 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,Waterfront Communities-The Island,-79.39553097,43.64673969,1
10.42.0.151-72.21.206.135-52945-443-6,GO-20221349538,2013/12/13 05:00:00+00,2022/01/15 05:00:00+00,Schools During Supervised Activity,Educational,Willowdale East,-79.40763068,43.76946668,0
202.77.129.150-10.42.0.211-80-41780-6,GO-20221351191,2022/01/15 05:00:00+00,2022/01/15 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,Mount Pleasant West,-79.39832607,43.70673316,1
10.42.0.1-10.42.0.42-53-57608-17,GO-20221350595,2022/01/15 05:00:00+00,2022/01/15 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Hillcrest Village,-79.3645047,43.79199329,0
10.42.0.211-115.239.210.141-43633-80-6,GO-20221350946,2022/01/15 05:00:00+00,2022/01/15 05:00:00+00,"Open Areas (Lakes, Parks, Rivers)",Outside,Don Valley Village,-79.36147665,43.78869355,1
172.217.3.106-10.42.0.42-443-44990-6,GO-20221351038,2022/01/15 05:00:00+00,2022/01/15 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,Don Valley Village,-79.35805866,43.79080214,0
10.42.0.211-95.213.11.133-57598-443-6,GO-20221353442,2022/01/10 05:00:00+00,2022/01/15 05:00:00+00,Schools During Supervised Activity,Educational,Beechborough-Greenbrook,-79.47605995,43.6899192,1
